".id","from","to","link","filename"
"links_2016",2016-05-15,2016-05-21,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/3e11c9fb-0110-43b6-8655-b95b947f63dd/download/fahrzeitensollist2016051520160521.csv","fahrzeitensollist2016051520160521.csv"
"links_2016",2016-03-27,2016-04-02,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/198fc52b-f351-4583-a1a0-008afedda74c/download/fahrzeitensollist2016032720160402.csv","fahrzeitensollist2016032720160402.csv"
"links_2016",2016-10-02,2016-10-08,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/528fc567-a107-4d2b-919d-6369e53ff5f8/download/fahrzeitensollist2016100220161008.csv","fahrzeitensollist2016100220161008.csv"
"links_2016",2016-01-17,2016-01-23,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/a472644d-fde5-4f33-ade7-9914eb620ebd/download/fahrzeitensollist2016011720160123.csv","fahrzeitensollist2016011720160123.csv"
"links_2016",2016-04-10,2016-04-16,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/6c57f2be-1f8e-4bd5-b81c-8f8fb79971b9/download/fahrzeitensollist2016041020160416.csv","fahrzeitensollist2016041020160416.csv"
"links_2016",2016-08-28,2016-09-03,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/18443f73-d977-45e0-8929-e05599db576d/download/fahrzeitensollist2016082820160903.csv","fahrzeitensollist2016082820160903.csv"
"links_2016",2016-12-18,2016-12-24,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/d7d6ea22-856c-4351-af74-474a018c1ab5/download/fahrzeitensollist2016121820161224.csv","fahrzeitensollist2016121820161224.csv"
"links_2016",2016-02-21,2016-02-27,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/6386a726-20e5-4fb2-ad61-22666a32d144/download/fahrzeitensollist2016022120160227.csv","fahrzeitensollist2016022120160227.csv"
"links_2016",2016-03-06,2016-03-12,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/6ceb099f-5bed-47a4-a273-a225277a78ac/download/fahrzeitensollist2016030620160312.csv","fahrzeitensollist2016030620160312.csv"
"links_2016",2016-05-29,2016-06-04,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/cab664ab-8e63-41e7-9e9a-c3dcde7ee895/download/fahrzeitensollist2016052920160604.csv","fahrzeitensollist2016052920160604.csv"
"links_2016",2016-01-31,2016-02-06,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/778ef68e-2cf7-4a07-a39f-73c2e7bf3533/download/fahrzeitensollist2016013120160206.csv","fahrzeitensollist2016013120160206.csv"
"links_2016",2016-10-09,2016-10-15,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/0be56dc8-30f1-4c21-bf53-bba168f14147/download/fahrzeitensollist2016100920161015.csv","fahrzeitensollist2016100920161015.csv"
"links_2016",2016-07-03,2016-07-09,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/20a1ce59-cd6e-4647-a04e-d8df58e71a90/download/fahrzeitensollist2016070320160709.csv","fahrzeitensollist2016070320160709.csv"
"links_2016",2016-04-17,2016-04-23,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/63441995-9ca1-4284-a68a-c694de8220d2/download/fahrzeitensollist2016041720160423.csv","fahrzeitensollist2016041720160423.csv"
"links_2016",2016-05-01,2016-05-07,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/c0679e2a-e0d4-462f-8850-816310693a14/download/fahrzeitensollist2016050120160507.csv","fahrzeitensollist2016050120160507.csv"
"links_2016",2016-03-13,2016-03-19,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/a374d582-bb46-43f2-91dc-31b26ab630bf/download/fahrzeitensollist2016031320160319.csv","fahrzeitensollist2016031320160319.csv"
